user,activity,posture,AVGNN,SDNN,MeanHR,MinHR,MaxHR,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
2,household-chores,stand,633.87,44.353,94.657,78.023,109.41,15.474,63.425,207,33.333,90,16,8.4432
2,household-chores,stand,802.4,82.766,74.776,63.158,98.912,46.232,19.035,370,20,40,32,45.185
2,household-chores,stand,854.65,60.755,70.204,61.287,85.911,54.537,33.429,308,13.333,60,34.667,1.3269
2,household-chores,stand,866.73,60.417,69.225,60.753,83.333,57.301,32.464,316,30,43.333,31,73.957
2,household-chores,stand,581.87,60.201,103.12,72.272,122.4,18.449,2.5292,317,33.333,10,15,6.9373
2,household-chores,stand,574.87,49.838,104.37,69.865,120.19,21.203,1.7308,330,20,46.667,18.333,8.7953
2,household-chores,stand,591.07,27.089,101.51,88.784,113.72,11.328,19.724,130,10,83.333,15,6.6065
2,household-chores,stand,646.49,34.71,92.809,78.329,104.53,15.332,43.197,201,16.667,11,16,3.2472
2,household-chores,stand,616.14,32.18,97.381,86.182,108.5,16.07,1.6461,187,33.333,10.333,16.667,5.5804
2,household-chores,stand,592.84,33.641,101.21,87.515,114.03,15.612,79.208,188,23.333,83.333,16.333,3.7801
2,household-chores,stand,591.26,39.267,101.48,84.246,117.65,13.898,59.406,197,26.667,80,16.333,4.4273
2,household-chores,stand,585.89,44.151,102.41,84.412,118.95,17.132,2.1569,211,13.333,93.333,17,3.0536
2,household-chores,stand,583.12,38.147,102.9,88.863,118.58,13.92,97.466,179,40,43.333,17.333,6.382
2,household-chores,stand,620.54,44.163,96.69,81.323,113.34,18.122,2.2774,220,33.333,70,15,5.878
2,household-chores,stand,629.07,38.088,95.379,84.222,110.33,15.947,84.034,173,66.667,96.667,15.333,3.7978
2,household-chores,stand,609.21,38.809,98.488,74.608,111.44,16.136,1.4257,253,26.667,83.333,15.667,4.0841
2,household-chores,stand,597.04,35.842,100.5,82.645,113.68,13.239,39.92,193,16.667,10,16,7.5769
2,household-chores,stand,581.44,24.674,103.19,90.58,114.37,10.307,19.417,144,36.667,40,15,3.2349
2,household-chores,stand,587.71,36.973,102.09,85.886,115.21,14.045,98.232,174,23.333,90,17.667,8.5442
2,household-chores,stand,616.64,73.788,97.301,67.522,159.4,37.612,4.7619,482,33.333,40,17,1.3884
2,household-chores,stand,633.84,31.254,94.661,83.426,105.23,15.173,42.373,157,36.667,40,15.333,3.4036
2,household-chores,stand,788.95,102.51,76.05,56.668,96.401,48.237,15.303,521,0,11,25.333,1.1822
2,household-chores,stand,796.62,70.948,75.318,64.048,98.767,44.39,19.251,454,10,12,15,2.3291
2,household-chores,stand,759.26,67.915,79.024,65.992,92.621,32.094,11.168,316,26.667,83.333,18.667,4.9246
2,household-chores,stand,759.7,59.582,78.979,64.157,90.552,34.607,13.198,266,26.667,90,18,3.0666
2,household-chores,stand,751.82,55.602,79.807,65.232,92.879,32.109,10.302,282,10,11.333,18.667,3.5264
2,household-chores,stand,769.71,64.639,77.952,63.452,91.241,25.938,5.9126,331,66.667,46.667,20,3.9286
2,household-chores,stand,772.83,64.925,77.636,65.934,97.434,27.009,8.5052,301,13.333,80,16,5.4107
2,household-chores,stand,770.28,62.324,77.894,65.92,92.879,31.019,8.5052,273,33.333,76.667,15,2.8423
2,household-chores,stand,756.53,70.434,79.31,67.492,94.518,33.72,9.8485,340,33.333,43.333,15,2.2045
2,household-chores,stand,730.39,49.211,82.148,70.855,92.194,25.581,6.3415,225,23.333,66.667,15.667,3.5311
2,household-chores,stand,681.53,43.435,88.037,75.301,100,20.888,2.5057,227,33.333,40,16.667,2.4165
2,household-chores,stand,695.81,81.292,86.231,67.735,106.8,24.749,6.5116,330,33.333,60,17.333,5.1449
